step,q,iangle,r1,velocity_scale,chisq
245,1.13748,55.9401,0.130476,531.97,171.54
246,1.25959,56.3085,0.11918,522.957,172.829
247,1.30098,56.5487,0.123408,523.459,170.795
248,1.30098,56.5487,0.123408,523.459,170.795
249,1.30098,56.5487,0.123408,523.459,170.795
250,1.30098,56.5487,0.123408,523.459,170.795
251,1.30098,56.5487,0.123408,523.459,170.795
252,1.30098,56.5487,0.123408,523.459,170.795
253,1.30098,56.5487,0.123408,523.459,170.795
254,1.30098,56.5487,0.123408,523.459,170.795
255,1.30098,56.5487,0.123408,523.459,170.795
256,1.30098,56.5487,0.123408,523.459,170.795
257,1.30098,56.5487,0.123408,523.459,170.795
258,1.30098,56.5487,0.123408,523.459,170.795
259,1.30098,56.5487,0.123408,523.459,170.795
260,1.30098,56.5487,0.123408,523.459,170.795
261,1.30098,56.5487,0.123408,523.459,170.795
262,1.30098,56.5487,0.123408,523.459,170.795
263,1.30098,56.5487,0.123408,523.459,170.795
264,1.30098,56.5487,0.123408,523.459,170.795
265,1.30098,56.5487,0.123408,523.459,170.795
266,1.30098,56.5487,0.123408,523.459,170.795
267,1.30098,56.5487,0.123408,523.459,170.795
268,1.30098,56.5487,0.123408,523.459,170.795
269,1.30098,56.5487,0.123408,523.459,170.795
270,1.29435,55.6232,0.120397,530.918,171.404
271,1.23998,54.8671,0.126675,531.694,170.566
272,1.23998,54.8671,0.126675,531.694,170.566
273,1.19082,55.1816,0.127006,538.354,170.456
274,1.19082,55.1816,0.127006,538.354,170.456
275,1.19082,55.1816,0.127006,538.354,170.456
276,1.19082,55.1816,0.127006,538.354,170.456
277,1.19082,55.1816,0.127006,538.354,170.456
278,1.19082,55.1816,0.127006,538.354,170.456
279,1.19082,55.1816,0.127006,538.354,170.456
280,1.19082,55.1816,0.127006,538.354,170.456
281,1.19082,55.1816,0.127006,538.354,170.456
282,1.19082,55.1816,0.127006,538.354,170.456
283,1.19082,55.1816,0.127006,538.354,170.456
284,1.19082,55.1816,0.127006,538.354,170.456
285,1.19082,55.1816,0.127006,538.354,170.456
286,1.20035,55.2698,0.126714,544.599,170.529
287,1.20035,55.2698,0.126714,544.599,170.529
288,1.20035,55.2698,0.126714,544.599,170.529
289,1.20035,55.2698,0.126714,544.599,170.529
290,1.20035,55.2698,0.126714,544.599,170.529
291,1.20035,55.2698,0.126714,544.599,170.529
292,1.20613,54.0999,0.128508,543.779,171.026
293,1.20613,54.0999,0.128508,543.779,171.026
294,1.20613,54.0999,0.128508,543.779,171.026
295,1.20613,54.0999,0.128508,543.779,171.026
296,1.16349,54.8846,0.13196,535.694,173.1
297,1.16349,54.8846,0.13196,535.694,173.1
298,1.14122,53.9976,0.13414,539.344,174.44
299,1.14122,53.9976,0.13414,539.344,174.44
300,1.14122,53.9976,0.13414,539.344,174.44
301,1.14122,53.9976,0.13414,539.344,174.44
302,1.0848,54.2993,0.134076,542.698,171.404
303,1.07207,54.0571,0.130549,552.15,171.222
304,1.12767,52.9803,0.127093,536.167,173.058
305,1.26793,52.8423,0.125287,537.351,170.667
306,1.26793,52.8423,0.125287,537.351,170.667
307,1.26793,52.8423,0.125287,537.351,170.667
308,1.26793,52.8423,0.125287,537.351,170.667
309,1.26793,52.8423,0.125287,537.351,170.667
